gender,age,no_of_people_contribute_income,relationship_status,children_status,financially_independent,occupation,housing situation,have_roomates,country,living environment,commute,highest level of education attained?,gross_annual_wage,total_portfolio,amount_for_fi,amount_for_re,curr_percentage_of_fi,frequency_of_checking_balance,do_you_move_when_fi,how_financially_stable_childhood_home,parent/guardian_financial_status,did_parent/guardian_teach_about_money,age_when_financially_literate,age_when_learnt_about_fi,education,job,housing_situation,location,spending_habits,frugality,logical_thinking,creativity,drive_for_self_improvement,importance_of_relationship,internet_consumption,introversion,religiousness_level,response_release_consent
Male,26,1,"In a relationship, but not married",Plan Children,No,"Licensed Professional (Attorney, Accountant, Engineer)",Rent,No,United States of America,Suburban,30-60 minutes,"College graduate, Bachelor's Degree",110000,35000,1500000,2500000,2,Weekly,"Yes, within my country",Mostly Stable,Middle Class,"No, we did not talk about it",15,18,Yes,Yes,Yes,Yes,Yes,4,4,2,4,5,4,5,2,Yes
Male,37,2,"In a relationship, but not married",Have Children,No,Legal Occupations,Own,No,Sweden,Suburban,30-60 minutes,Graduate degree,280000,9000,45,55,10,Daily,No,Somewhat Unstable,Middle Class,"No, they were not financially savvy",30,30,No,No,Yes,Yes,Yes,2,5,3,5,4,4,1,1,Yes
Male,20,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,10-30 minutes,"Some college, no degree",118000,0,700000,100000,0,Multiple times per week,"Yes, within my country",Somewhat Unstable,Lower-Middle Class,"No, we did not talk about it",18,19,Yes,Yes,Yes,Yes,Yes,4,5,4,4,3,5,4,2,Yes
Male,26,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",140000,190000,1500000,2000000,14,Multiple times a day,"Yes, nearby",Extremely Unstable,Poor,"Yes, only basic savings and budgeting",20,24,No,Yes,Yes,Yes,Yes,5,5,4,4,4,5,3,1,Yes
Male,24,1,"In a relationship, but not married",Undecided,No,Business and Financial Operations Occupations,Rent,Yes,United States of America,Urban,10-30 minutes,Graduate degree,65000,130000,900000,1500000,15,Daily,Unsure,Extremely Stable,Upper-Middle Class,"Yes, including investing and retirement planning",17,20,No,Yes,Yes,Yes,Yes,4,5,2,3,4,2,4,1,Yes
Male,30,1,Married,Have Children,No,Healthcare Support Occupations,Own,No,United States of America,Suburban,<10 minutes,"College graduate, Bachelor's Degree",120000,220000,2500000,3000000,10,Multiple times a day,"Yes, within my country",Mostly Unstable,Middle Class,"Yes, only basic savings and budgeting",13,29,Yes,Yes,Yes,Yes,Yes,5,4,5,5,4,5,4,3,Yes
Male,25,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,Yes,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",71000,27000,601060,6010600,0,Monthly,"Yes, to another country",Mostly Stable,Upper-Middle Class,"No, we did not talk about it",18,22,No,No,Yes,Yes,Yes,4,4,3,3,5,5,1,1,Yes
Male,28,2,Married,Plan Children,No,Healthcare Practitioners and Technical Occupations,Rent,No,United States of America,Suburban,<10 minutes,Graduate degree,122000,131200,900000,1200000,14,Multiple times per week,"Yes, nearby",Somewhat Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",26,26,No,No,Yes,Yes,Yes,5,5,2,4,3,4,5,1,Yes
Male,26,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Live with family,No,United States of America,Suburban,60-90 minutes,Graduate degree,90000,200000,500000,2000000,10,Multiple times a day,"Yes, within my country",Extremely Unstable,Middle Class,"Yes, including investing and retirement planning",24,26,Yes,Yes,Yes,Yes,Yes,3,5,4,5,2,2,4,1,Yes
Male,30,1,Married,Have Children,No,Architecture and Engineering Occupations,Own,No,United States of America,Rural,<10 minutes,"College graduate, Bachelor's Degree",89000,90000,750000,1200000,15,Multiple times per week,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",18,28,No,No,Yes,No,Yes,4,5,2,3,4,4,3,5,Yes
Male,25,1,"Single, never married",Undecided,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,"College graduate, Bachelor's Degree",94080,125000,1500000,2500000,10,Multiple times per week,Unsure,Mostly Stable,Middle Class,"Yes, only basic savings and budgeting",22,24,No,No,Yes,Yes,Yes,5,5,3,4,2,5,4,2,Yes
Female,29,2,Married,Plan Children,No,Other (please specify),Own,No,United States of America,Suburban,Work at home,"College graduate, Bachelor's Degree",113000,51150,750000,1200000,6,Daily,No,Extremely Stable,Lower-Middle Class,"Yes, including investing and retirement planning",19,28,No,Yes,Yes,Yes,Yes,4,5,3,5,4,4,4,1,Yes
Female,31,2,"In a relationship, but not married",Undecided,No,Office and Administrative Support Occupations,Own,No,United States of America,Suburban,60-90 minutes,"College graduate, Bachelor's Degree",73000,40000,800000,800000,5,Weekly,Unsure,Mostly Stable,Middle Class,"No, we did not talk about it",18,28,Yes,Yes,Yes,No,Yes,4,5,2,3,3,5,5,1,Yes
Male,26,2,Married,Plan Children,No,"Computer and Mathematical Occupations - Software, Programming",Rent,No,United States of America,Urban,10-30 minutes,Graduate degree,120000,37000,1000000,2000000,3.5,Multiple times per month,"Yes, within my country",Mostly Stable,Lower-Middle Class,"Yes, only basic savings and budgeting",16,25,No,No,Yes,Yes,Yes,4,5,3,5,5,4,3,3,Yes
Male,27,1,"In a relationship, but not married",Undecided,No,Architecture and Engineering Occupations,Rent,No,United States of America,Suburban,10-30 minutes,"College graduate, Bachelor's Degree",56000,20000,400000,600000,20,Weekly,Unsure,Somewhat Unstable,Lower-Middle Class,"No, they were not financially savvy",22,26,No,No,Yes,No,Yes,4,5,3,4,3,5,4,1,Yes
Female,33,2,"In a relationship, but not married",Do not plan to have children,No,Healthcare Practitioners and Technical Occupations,Rent,No,United States of America,Urban,30-60 minutes,"College graduate, Bachelor's Degree",100000,145000,450000,600000,33,Multiple times per week,Unsure,Mostly Unstable,Poor,"No, they were not financially savvy",18,30,No,Yes,Yes,Yes,Yes,4,4,3,4,4,3,4,2,Yes
